population	name	chr	start	end	recomb_Bherer2017_sexavg	recomb_Bherer2017_females	recomb_Bherer2017_males	missing	S	Pi	DAF	Divsites	D	K	Unknown	Psel_fold0	Pneu_fold0	Dsel_fold0	Dneu_fold0	alpha_fold0	test_fold0	m_sel_fold0	m_neu_fold0	Pi_sel_fold0	Pi_neu_fold0	K_sel_fold0	K_neu_fold0	alpha_pi_fold0	test_pi_fold0	Psel_neutral_fold0	alpha_cor_fold0	test_cor_fold0	DoS_fold0	f_fold0	b_fold0	y_fold0	d_fold0	Psel_intron	Pneu_intron	Dsel_intron	Dneu_intron	alpha_intron	test_intron	m_sel_intron	m_neu_intron	Pi_sel_intron	Pi_neu_intron	K_sel_intron	K_neu_intron	alpha_pi_intron	test_pi_intron	Psel_neutral_intron	alpha_cor_intron	test_cor_intron	DoS_intron	f_intron	b_intron	y_intron	d_intron	Psel_UTR5	Pneu_UTR5	Dsel_UTR5	Dneu_UTR5	alpha_UTR5	test_UTR5	m_sel_UTR5	m_neu_UTR5	Pi_sel_UTR5	Pi_neu_UTR5	K_sel_UTR5	K_neu_UTR5	alpha_pi_UTR5	test_pi_UTR5	Psel_neutral_UTR5	alpha_cor_UTR5	test_cor_UTR5	DoS_UTR5	f_UTR5	b_UTR5	y_UTR5	d_UTR5	Psel_UTR3	Pneu_UTR3	Dsel_UTR3	Dneu_UTR3	alpha_UTR3	test_UTR3	m_sel_UTR3	m_neu_UTR3	Pi_sel_UTR3	Pi_neu_UTR3	K_sel_UTR3	K_neu_UTR3	alpha_pi_UTR3	test_pi_UTR3	Psel_neutral_UTR3	alpha_cor_UTR3	test_cor_UTR3	DoS_UTR3	f_UTR3	b_UTR3	y_UTR3	d_UTR3	Psel_inter	Pneu_inter	Dsel_inter	Dneu_inter	alpha_inter	test_inter	m_sel_inter	m_neu_inter	Pi_sel_inter	Pi_neu_inter	K_sel_inter	K_neu_inter	alpha_pi_inter	test_pi_inter	Psel_neutral_inter	alpha_cor_inter	test_cor_inter	DoS_inter	f_inter	b_inter	y_inter	d_inter																			
ACB	22884	chr10	1094978	1178737	0.7154290512	0.2798408173	1.1510172851	0.4596466094	695	0.0010298	456	45	29	27	21	17	4	11	12	12	5	0	3	5	8	7	4	5	20	85	1199	0.0143214	0.0144599	30	5	2	11	6	-0.3636363636	1	1332	345	0.0005528	0.000125	0.0082582583	0.0173913043	-8.3132597628	1	2.5	0.3181818182	1	-0.0672268908	0.3237612613	0.3237612613	0.1726726727	0.3524774775	560	2	933	6	-0.8006430868	0.7176159709	71210	345	0.0011137	0.000125	0.0131020924	0.0173913043	-10.8263221213	1	472	-0.5176848875	0.7176159709	-0.0028310575	1.1433787389	0.2131723073	0.603180733	-0.3565510462	7	2	14	6	-0.5	1	958	345	0.0012383	0.000125	0.0146137787	0.0173913043	-10.7892313043	1	4.5	0.0357142857	1	-0.0777777778	0.8102818372	0.4501565762	0.4201461378	-0.2604384134	26	2	66	6	-0.1818181818	1	5583	345	0.000317	0.000125	0.0118216013	0.0173913043	-2.7308268775	1	20	0.0909090909	1	-0.0119047619	0.6179473401	0.185384202	0.123589468	0.1966684578	2	2	21	6	0.7142857143	0.268298109	500	345	0.000065	0.000125	0.042	0.0173913043	0.784679089	1	1	0.8571428571	0.268298109	0.2777777778	0.345	0.345	-1.725	0.31
ACB	399706	chr10	1205208	1211112	0.2792683692	0.5050896518	0.0534470866	0	80	0.0020796	46	4	12	7	1	0	1	0	2	6	0	0	1	1	0	1	0	0	0	10	137	0.0232203	0.0235874	1	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	33	0	45	0	NaN	1	2471	0	0.0016406	NaN	0.0182112505	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	15	0	40	0	NaN	1	1000	0	0.0012079	NaN	0.04	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN
ACB	105	chr10	1222753	1780170	2.995661872	0.298050911	5.693272833	4.2639455489	5981	0.001496	3637	557	302	227	187	116	70	104	79	83	52	64	60	50	81	76	68	90	106	437	9761	0.0175279	0.017736	534	9	4	8	7	-0.96875	0.4600686499	1484	443	0.0012884	0.0025416	0.0053908356	0.0158013544	-0.4858731742	1	11	-1.40625	0.4600686499	-0.158974359	0.8209231806	-0.1492587601	0.3305015402	0.3283355795	5274	4	9633	7	0.0418872625	1	523711	443	0.0015461	0.0025416	0.0183937324	0.0158013544	0.4774175414	1	7229	-0.3132720855	1	3.17217479901544E-005	1.5287281535	-0.4134269664	-0.0487593075	-0.1153011871	8	4	5	7	-1.8	0.4136492125	670	443	0.0007793	0.0025416	0.0074626866	0.0158013544	0.3507729796	1	10	-2.5	0.4136492125	-0.25	1.6529850746	-0.3305970149	0.8501066098	-0.3223880597	59	4	94	7	-0.0984042553	1	5937	443	0.0030121	0.0025416	0.0158329122	0.0158013544	-0.182757453	1	93	-0.7313829787	1	-0.0058148672	1.7348408287	-0.6342428836	0.0986007844	-0.1005979451	9	4	12	7	-0.3125	1	1000	443	0.0022138	0.0025416	0.012	0.0158013544	-0.1469493749	1	12	-0.75	1	-0.0607287449	1.329	-0.33225	0.2373214286	0.00325
ACB	642394	chr10	1568325	1599679	0.9089609689	0.102581609	1.7153403288	6.2669430713	345	0.0020679	194	33	2	29	24	6	0	1	8	14	4	8	5	5	12	10	4	1	2	16	402	0.0128451	0.0129564	49	1	0	4	3	-Inf	1	286	90	0.0001495	0	0.013986014	0.0333333333	-Inf	1	NaN	NaN	1	-0.4285714286	NaN	NaN	Inf	NaN	295	0	393	3	-Inf	0.2649594161	28746	90	0.0022297	0	0.0136714673	0.0333333333	-Inf	1	NaN	NaN	0.2649594161	-0.0075757576	NaN	NaN	Inf	NaN	4	0	1	3	-Inf	0.1428571429	143	90	0.0047409	0	0.006993007	0.0333333333	-Inf	1	NaN	NaN	0.1428571429	-0.75	NaN	NaN	Inf	NaN	0	0	0	3	NaN	1	57	90	0	0	0	0.0333333333	NaN	1	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	3	NaN	1	0	90	NaN	0	NaN	0.0333333333	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
ACB	282980	chr10	2047167	2057042	0.6792284092	0.3419031459	1.0165536725	0	93	0.001209	61	2	0	0	0	2	3	0	4	2	2	6	0	0	1	0	0	1	1	9	58	0.0058997	0.005923	43	1	0	3	2	-Inf	1	211	52	0.0000515	0	0.0142180095	0.0384615385	-Inf	1	NaN	NaN	1	-0.4	NaN	NaN	Inf	NaN	57	0	45	2	-Inf	0.2018297237	6779	52	0.000927	0	0.0066381472	0.0384615385	-Inf	1	NaN	NaN	0.2018297237	-0.0425531915	NaN	NaN	Inf	NaN	0	0	1	2	NaN	1	88	52	0	0	0.0113636364	0.0384615385	NaN	1	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	20	0	0	2	-Inf	0.0043290043	1673	52	0.0028848	0	0	0.0384615385	-Inf	1	NaN	NaN	0.0043290043	-1	NaN	NaN	Inf	NaN	5	0	6	2	-Inf	0.4871794872	1000	52	0.0008164	0	0.006	0.0384615385	-Inf	1	NaN	NaN	0.4871794872	-0.25	NaN	NaN	Inf	NaN
ACB	399708	chr10	2342013	2357768	5.808263903	0.4838878806	11.1326399254	0.2157908099	197	0.0019821	115	20	10	0	10	1	4	11	5	1	4	0	3	3	7	3	0	3	3	7	203	0.0129217	0.0130343	40	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	105	0	135	0	NaN	1	9217	0	0.0018151	NaN	0.0146468482	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	15	0	25	0	NaN	1	1000	0	0.0027123	NaN	0.025	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN
ACB	5214	chr10	3109212	3179497	5.7565480755	2.4408254654	9.0722706855	4.9099393905	1222	0.0028458	694	77	59	58	28	50	22	23	31	32	24	9	24	20	13	13	15	12	17	93	1500	0.0213623	0.0216724	69	5	10	13	16	0.3846153846	0.5314634938	1639	331	0.0007876	0.0084183	0.0079316656	0.0483383686	0.4298240444	1	4	0.5076923077	0.5314634938	0.1149425287	0.080780964	0.020195241	-0.0631101281	0.899023795	967	10	1396	16	-0.1083094556	0.8440252353	61191	331	0.002946	0.0084183	0.0228138125	0.0483383686	0.2585148371	1	1158.6	-0.3279083095	0.8440252353	-0.0010960302	0.6267205962	-0.1036420389	0.0511178114	0.4769214427	44	10	44	16	-0.6	0.3733267507	2550	331	0.0043243	0.0084183	0.017254902	0.0483383686	-0.4390335192	1	54.2	-0.9709090909	0.3733267507	-0.0814814815	0.7035372549	-0.1324	0.2141764706	0.4288627451	14	10	17	16	-0.3176470588	0.7881580853	608	331	0.0033949	0.0084183	0.0279605263	0.0483383686	0.3028130738	1	18.2	-0.7129411765	0.7881580853	-0.0681818182	0.9908223684	-0.2286513158	0.1837376645	0.2378289474	1	10	1	16	-0.6	1	118	331	0.0034551	0.0084183	0.0084745763	0.0483383686	-1.3410474655	1	0.8	-0.28	1	-0.0320855615	0.2244067797	0.0561016949	0.105190678	0.7194915254
ACB	10531	chr10	3178616	3215533	0.3841747932	0.4016015088	0.3667480777	1.6550192318	455	0.0016421	327	28	12	13	5	6	7	4	3	17	14	3	14	9	2	2	2	2	3	25	681	0.0184588	0.0186897	12	26	4	8	8	-5.5	0.0125739026	2172	451	0.0027179	0.0016016	0.0036832413	0.0177383592	-7.1726460901	1	5	-0.25	0.0125739026	-0.3666666667	0.259553407	1.0901243094	1.1420349908	-0.3496777164	280	4	533	8	-0.0506566604	1	26206	451	0.0012828	0.0016016	0.0203388537	0.0177383592	0.3014590606	1	76	0.7148217636	1	-0.0007029236	0.3269861864	0.8776997634	0.0580830726	-0.2046859498	10	4	8	8	-1.5	0.2838528104	490	451	0.0019154	0.0016016	0.0163265306	0.0177383592	-0.2993464407	1	4	0	0.2838528104	-0.2142857143	0.9204081633	1.3806122449	1.3806122449	-1.3010204082	39	4	39	8	-1	0.3595044482	1982	451	0.0054809	0.0016016	0.0196770938	0.0177383592	-2.0849654638	1	19	0.0256410256	0.3595044482	-0.0771895101	1.0808526741	1.1377396569	1.1092961655	-1.218592331	2	4	2	8	-1	0.6043956044	176	451	0.0010671	0.0016016	0.0113636364	0.0177383592	-0.0400331376	1	0	1	0.6043956044	-0.1333333333	0	1.28125	0.640625	-0.28125
ACB	100507034	chr10	3183293	3191321	0.1967441934	0.1702699307	0.2232184562	0	104	0.0016776	75	6	2	1	2	0	3	1	1	1	3	1	4	3	0	2	1	1	0	5	139	0.0173209	0.017524	0	5	1	1	2	-9	0.2261904762	505	118	0.001517	0.0005376	0.001980198	0.0169491525	-23.1527000101	1	0	1	0.2261904762	-0.5	0	1.1683168317	1.0514851485	-0.1683168317	44	1	70	2	-0.2571428571	1	3765	118	0.0018051	0.0005376	0.0185922975	0.0169491525	-2.0609549302	1	10	0.7142857143	1	-0.0055555556	0.3134130146	1.0656042497	0.2820717131	-0.3790172643	0	1	0	2	NaN	1	0	118	NaN	0.0005376	NaN	0.0169491525	NaN	NA	0	NaN	1	0	NaN	NaN	NaN	NaN	0	1	0	2	NaN	1	0	118	NaN	0.0005376	NaN	0.0169491525	NaN	NA	0	NaN	1	0	NaN	NaN	NaN	NaN	0	1	0	2	NaN	1	0	118	NaN	0.0005376	NaN	0.0169491525	NaN	NA	0	NaN	1	0	NaN	NaN	NaN	NaN
ACB	1316	chr10	3817688	3827973	3.3050259991	4.9679483009	1.6421036972	8.4775422905	67	0.0004116	53	5	2	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	5	81	0.0078748	0.0079164	0	3	1	2	0	1	1	655	152	0.0001143	0.0001422	0.0030534351	0	1	1	3	1	1	0.25	0.6961832061	0	-Inf	0.3038167939	23	1	31	0	1	0.4363636364	3285	152	0.0004469	0.0001422	0.0094368341	0	1	1	26	1	0.4363636364	0.0416666667	1.20304414	-0.1388127854	-Inf	-0.0642313546	0	1	0	0	NaN	1	0	152	NaN	0.0001422	NaN	0	NaN	NA	0	NaN	1	NaN	NaN	NaN	NaN	NaN	35	1	40	0	1	0.4736842105	4624	152	0.0004857	0.0001422	0.008650519	0	1	1	42	1	0.4736842105	0.0277777778	1.3806228374	-0.2301038062	-Inf	-0.1505190311	2	1	7	0	1	0.3	500	152	0.000847	0.0001422	0.014	0	1	1	3	1	0.3	0.3333333333	0.912	-0.304	-Inf	0.392
ACB	100216001	chr10	4620943	4720762	2.2811266867	0.8832103203	3.6790430531	3.1095972751	984	0.0013364	561	135	59	42	29	16	4	12	13	3	9	6	15	16	14	11	19	5	36	59	1318	0.0132061	0.0133238	4	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	838	0	1241	0	NaN	1	90779	0	0.0013679	NaN	0.0136705626	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	12	0	10	0	NaN	1	1000	0	0.0018507	NaN	0.01	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN
